Event_Id,Event_Name,Event_Summary,Event_Organizer,start_date,url,is_online_event
356193172367,Kintsugi Workshop,Mend your once loved China with a golden repair WHAT'S THIS ALL ABOUT? Kintsugi  the Japanese art of embracing your imperfections. Learn how to mend once loved china and earthenware in this mindful introduction to the Kintsugi method. The visible repairs are seen as part of the history of an object  highlighting the cracks and symbolising fragility  strength and beauty. This golden repair is called Kintsugi. WHAT HAPPENS IN THIS WORKSHOP? The idea of this workshop is to repair a loved item  join,16076876847,2022-10-06,https://www.eventbrite.co.uk/e/kintsugi-workshop-tickets-356193172367,false
277745583517,Adults evening art class with CREATE,Adults monthly evening art class  every second Wednesday of the month. **July is all about Pointillism**,33768291899,2022-08-10,https://www.eventbrite.co.uk/e/adults-evening-art-class-with-create-tickets-277745583517,false
230281105987,Dropshipping eCommerce Training Course  Online Business Web Design  Selling,FREE DROPSHIPPING COURSE: WE HELP YOU TO START YOUR UK DROPSHIPPING BUSINESS with GUARANTEED SUCCESS!,16755069193,2022-07-24,https://www.eventbrite.co.uk/e/dropshipping-ecommerce-training-course-online-business-web-design-selling-tickets-230281105987,false
334888519577,LOCURA FRIDAYS,LONDON GET READY! UK'S CRAZIEST LATIN PARTY IS BACK AT PARADISE SUPER CLUB LONDON EVERY FRIDAY,19943454747,2022-07-22,https://www.eventbrite.co.uk/e/locura-fridays-tickets-334888519577,false
271611807227,Kiki Drag Cabaret: Early Show (Doors 6pm) Show 7-8.30pm,Every Saturday night it’s time to dim the lights  pop the bottles  get the girls in and get ready to be gagged by our crazy cabaret.,29708198809,2022-07-23,https://www.eventbrite.co.uk/e/kiki-drag-cabaret-early-show-doors-6pm-show-7-830pm-tickets-271611807227,false
259338487397,FTP All Black Boat Party,A luxurious boat party experience on the River Thames,41970510313,2022-07-30,https://www.eventbrite.co.uk/e/ftp-all-black-boat-party-tickets-259338487397,false
331454107157,Fighting Fantasy Fest 4 & You Are The Beer-o present: The Fourester of Doom,Get warmed up for FIGHTING FANTASY FEST 4 with a special You Are The Beer-o get together for Fighting Fantasy fans!,6487095007,2022-09-02,https://www.eventbrite.co.uk/e/fighting-fantasy-fest-4-you-are-the-beer-o-present-the-fourester-of-doom-tickets-331454107157,false
255288553937,Stampex 2022,A fun philatelic and collectibles experience for all – from a new collector to an advanced philatelist or anyone looking for a fun day out,33920185765,2022-09-28,https://www.eventbrite.co.uk/e/stampex-2022-tickets-255288553937,false
158316497907,Learn to Trade Forex & Bitcoin in London - FOREX Trading LONDON ,Learn how to trade FOREX & cryptocurrencies like Bitcoin in London.  We will show you how to  build a 6 and 7 figure trading account.,29892050827,2022-07-24,https://www.eventbrite.co.uk/e/learn-to-trade-forex-bitcoin-in-london-forex-trading-london-tickets-158316497907,false
274250138547,Growing Underground urban farm tour,Feeling curious? Growing Underground operates 33 meters underneath the streets of Clapham  London in a former WWII air raid shelter.,17939252857,2022-08-04,https://www.eventbrite.co.uk/e/growing-underground-urban-farm-tour-tickets-274250138547,false
264316757537,Creative Photography,This active day explores urban and cityscape photography  photographic techniques  opportunities to take your own images to review later.,1905500785,2022-07-30,https://www.eventbrite.co.uk/e/creative-photography-registration-264316757537,false
