id,name,summary,organizer,start_date,url,is_online_event
316611211657,Entrepreneurs Solutions Summit,This summit parades the country’s top businessmen with vast experience in businesses across all the sectors of the economy.,1437478402,2022-11-03,https://www.eventbrite.co.uk/e/entrepreneurs-solutions-summit-tickets-316611211657,false
350522551387,Pints and Pork food festival,The maiden ‘Pints & Pork” festival is  to celebrate World Food Day as well as to mark Porktober  international Pork Month.,14356395193,2022-10-29,https://www.eventbrite.com/e/pints-and-pork-food-festival-tickets-350522551387,false
202415248457,Payment Plan - Fashion Africa Sourcing Trips (F.A.S.T.) Ghana 2022,F.A.S.T. GHANA Ghana edition of our series of immersive fashion business mission trips. These sourcing trips are focused on connecting the f,1302472933,2022-10-23,https://www.eventbrite.co.uk/e/payment-plan-fashion-africa-sourcing-trips-fast-ghana-2022-tickets-202415248457,false
202415158187,Fashion Africa Sourcing Trips (F.A.S.T.) Ghana 2022,F.A.S.T. GHANA Ghana edition of our series of immersive fashion business mission trips. These sourcing trips are focused on connecting the f,1302472933,2022-10-23,https://www.eventbrite.co.uk/e/fashion-africa-sourcing-trips-fast-ghana-2022-tickets-202415158187,false
386217084697,CyberX Africa 2022 International Cyber Conference and Exhibition,CyberX Africa is Africa’s biggest Cyber Conference and Expo. Event partners: Israeli Embassy  CSDS AFRICA   SGI and Lex Mundus & Cencla,50310252703,2022-10-20,https://www.eventbrite.com/e/cyberx-africa-2022-international-cyber-conference-and-exhibition-tickets-386217084697,false
386999374547,OFORI PANIN OLD STUDENTS ASSOCIATION NATIONAL DELEGATES CONFERENCE 2022,RATIFYING OF BYE-LAWS AND ELECTION OF NATIONAL EXECUTIVES,50350844873,2022-10-22,https://www.eventbrite.com/e/ofori-panin-old-students-association-national-delegates-conference-2022-tickets-386999374547,false
246843855617,Take Me Home | 3 Region Ghana Tour | 8 Nights,3 Regions (Accra x Aburi x Cape Coast) | Staying at 2 Magnificent Hotels | One Cultural Experience! Space is limited.,29761698705,2022-12-24,https://www.eventbrite.com/e/take-me-home-3-region-ghana-tour-8-nights-tickets-246843855617,false
304247401167,Ghana Cultural Arts | Music | Fashion Experience + Afrochella Festival,Ready to Getaway? Let's Go!,16755025892,2022-12-26,https://www.eventbrite.com/e/ghana-cultural-arts-music-fashion-experience-afrochella-festival-tickets-304247401167,false
367497724587,LOCAL CONTENT CONFERENCE & EXHIBITION - 2022,The Petroleum Commission In accordance with its mandate to promote local content and local participation in the upstream petroleum industry ,48814877843,2022-11-08,https://www.eventbrite.com/e/local-content-conference-exhibition-2022-tickets-367497724587,false
261536381357,Take Me Home | 3 Region Ghana Tour | 8 Nights,3 Regions (Accra x Aburi x Cape Coast) | Staying at 2 Magnificent Hotels | One Cultural Experience! Space is limited.,13831163126,2022-12-24,https://www.eventbrite.com/e/take-me-home-3-region-ghana-tour-8-nights-tickets-261536381357,false
